sensor,score_ttest,rank_ttest,score_mutual_info,rank_mutual_info,score_l1_logistic,rank_l1_logistic,score_random_forest,rank_random_forest,score_shap,rank_shap,mean_rank,consensus_rank,stability,selected
sensor_038,1.056599883440584,127.0,0.019910587079358333,29.0,0.22130909625442202,17.0,0.0029168485773747753,138.0,0.0015250166329689523,127.0,87.6,47,0.13333333333333333,False
sensor_091,0.3936332547234756,212.0,0.012056554414925813,73.0,0.005442474977525977,115.0,0.00775360159764767,17.0,0.0034879686533098244,27.0,88.8,48,0.0,False
sensor_563,0.9884091059844768,138.0,0.0,229.0,0.19372629146017845,25.0,0.006597332423427156,25.0,0.003461839973079465,29.0,89.2,49,0.13333333333333333,False
sensor_143,2.13779486854029,37.0,0.00483198795940587,125.0,0.20174267585595368,22.0,0.002873768313461669,144.0,0.0015737422546329117,120.0,89.6,50,0.03333333333333333,False
sensor_163,2.2776315710855877,28.0,0.0008408715270755707,175.0,0.0,196.0,0.0066072274863765235,24.0,0.0035453821321220808,25.0,89.6,51,0.03333333333333333,False
sensor_227,1.3335614729386651,91.0,0.018161436371830764,38.0,0.0,196.0,0.00391624263678988,73.0,0.0024395494888614527,50.0,89.6,52,0.06666666666666667,False
sensor_239,1.3120301457581527,94.0,0.0033413643252586667,137.0,0.005374346812034384,116.0,0.00443565979883391,50.0,0.002364329435025629,53.0,90.0,53,0.0,False
sensor_078,3.3506719103029647,8.0,0.006622179136363204,110.0,0.0,196.0,0.0038030321730070623,77.0,0.002144829245865624,61.0,90.4,54,0.23333333333333334,False
sensor_430,2.207852659699272,33.0,0.005777087237665679,116.0,0.0,196.0,0.003972357440872245,69.0,0.0026313078029138203,42.0,91.2,55,0.0,False
sensor_133,1.8568608663912245,50.0,0.019970831925301136,28.0,0.042376959318979154,81.0,0.002971448991524196,131.0,0.001294447712779489,169.0,91.8,56,0.43333333333333335,False
sensor_555,1.4055187909356661,85.0,0.01307651463242121,66.0,0.0,196.0,0.004393255019908582,55.0,0.0022793928490421004,57.0,91.8,57,0.0,False
sensor_117,1.3071753293792303,97.0,0.0011547188869889258,173.0,0.16223321532055907,32.0,0.0037561786219118026,79.0,0.0019410368151322078,79.0,92.0,58,0.03333333333333333,False
sensor_011,2.2117783272701232,32.0,0.004882324948829453,124.0,0.03511362067959303,87.0,0.003297617685478176,106.0,0.0016018684932056799,114.0,92.6,59,0.1,False
sensor_063,1.9132163707546117,47.0,0.012011367082189528,74.0,0.0,196.0,0.004398264536945441,54.0,0.0017401956541786595,100.0,94.2,60,0.06666666666666667,False
sensor_170,1.7480102383913987,61.0,0.020242090934943446,26.0,0.03692768994683373,86.0,0.0030758622040714654,120.0,0.0012458072849094758,180.0,94.6,61,0.03333333333333333,False
sensor_024,1.4395604366388473,83.0,0.012162429108177442,71.0,0.0,196.0,0.004473368238309961,49.0,0.001978115078662869,75.0,94.8,62,0.06666666666666667,False
sensor_147,0.8628520830680299,153.0,0.012606420878080726,68.0,0.0,196.0,0.005951911656577909,29.0,0.0034064452481622474,30.0,95.2,63,0.0,False
sensor_489,0.4333235120001039,207.0,0.006926092968467579,108.0,0.015470658705619552,103.0,0.005299300557608903,34.0,0.0032724204084707015,32.0,96.8,64,0.03333333333333333,False
sensor_571,0.4189426333043045,209.0,0.03407053190057052,3.0,0.0,196.0,0.004936623128156889,42.0,0.0031554271630692106,35.0,97.0,65,0.03333333333333333,False
sensor_076,1.75228126807099,59.0,0.00831404233644184,93.0,0.0,196.0,0.003731926608186731,83.0,0.00224793952050437,59.0,98.0,66,0.03333333333333333,False
sensor_210,2.0749804146000232,40.0,0.011348380944485648,79.0,0.0,196.0,0.0033513522033622603,103.0,0.0019475762486159379,78.0,99.2,67,0.23333333333333334,False
sensor_290,0.1355935366558634,250.0,0.02057788964065721,25.0,0.0,196.0,0.008391005864759316,14.0,0.005070151065807227,13.0,99.6,68,0.0,False
sensor_017,1.0789662008186556,122.0,0.010577515133964877,81.0,0.0,196.0,0.004311184813892438,57.0,0.0026300102223009597,43.0,99.8,69,0.0,False
sensor_251,1.6945797453059126,68.0,0.015320436066333931,49.0,0.42801433244250686,6.0,0.002089100321634548,222.0,0.0013495443255367317,154.0,99.8,70,0.0,False
sensor_093,2.2678820351647238,29.0,0.0,229.0,0.050675169784525624,80.0,0.00391720549518994,72.0,0.0018055819929732248,91.0,100.2,71,0.0,False
sensor_099,1.518175612077623,75.0,0.00012162491282263765,183.0,0.30702238671044546,13.0,0.0031169947235291096,118.0,0.001582707595784831,119.0,101.6,72,0.03333333333333333,False
sensor_485,0.871004284763487,152.0,0.003670095062759282,131.0,0.0870117362095082,59.0,0.0037497715428038065,80.0,0.001826646741156887,89.0,102.2,73,0.06666666666666667,False
sensor_180,2.0676422367165954,41.0,0.0072353703195064956,103.0,0.0,196.0,0.0036583919650715236,87.0,0.0017977925330068467,92.0,103.8,74,0.0,False
sensor_252,0.5354752993290897,186.0,0.0034914420128757673,134.0,0.028231391158753942,91.0,0.004116451060969051,63.0,0.0023720942770215584,51.0,105.0,75,0.0,False
sensor_007,1.890997214146672,49.0,0.010267074284221689,83.0,0.012188822974155496,107.0,0.002379285244330037,193.0,0.0017569484190723278,96.0,105.6,76,0.06666666666666667,False
sensor_121,1.442695721859954,81.0,0.0,229.0,0.05731619887962189,77.0,0.004360102676762101,56.0,0.0018309553808551872,88.0,106.2,77,0.0,False
sensor_010,1.4747783351387054,78.0,0.0,229.0,0.0,196.0,0.008340266028602316,15.0,0.00490925331613082,14.0,106.4,78,0.03333333333333333,False
sensor_316,2.4142621693218995,23.0,0.001633625334255484,164.0,0.0,196.0,0.00390692216305137,74.0,0.0019535166869196095,76.0,106.6,79,0.1,False
